pdf_page,gallica_view,folio,side,column,image_file,width,height,source_width,source_height,crop_x,crop_y,crop_width,crop_height,sha256,material_state,observations,editorial_status
6,,1,v,full,images_full/f001v_full.png,750,1024,1480,1024,0,0,750,1024,79f9413a4597bb7a058aa7a6637f5e5339437cd022a3d4d834bc4469f4044a62,Déchirure importante affectant la partie inférieure de la colonne a ; colonne b complète.,Complément nécessaire : le prototype v0.4 encodait 1v_a mais non 1v_b.,context_only
6,,1,v,a,images_columns/f001v_a.png,320,1024,1480,1024,150,0,320,1024,34e43286e32ebf337b49e2768095fd54ef86ca1086b96d06331270e721789127,Déchirure importante affectant la partie inférieure de la colonne a ; colonne b complète.,Complément nécessaire : le prototype v0.4 encodait 1v_a mais non 1v_b.,already_encoded
6,,1,v,b,images_columns/f001v_b.png,340,1024,1480,1024,410,0,340,1024,3f2f1500c85e876e55c096a138c7f903330c103ca101afbf253ea3d054ec2471,Déchirure importante affectant la partie inférieure de la colonne a ; colonne b complète.,Complément nécessaire : le prototype v0.4 encodait 1v_a mais non 1v_b.,to_transcribe
6,,2,r,full,images_full/f002r_full.png,750,1024,1480,1024,730,0,750,1024,2c1e541fc30f23e00eadba0a5f90811f5c2689058e86ca64c3b9f06b828c67e5,Foliotation 2 visible ; pli horizontal léger.,Mise en page à deux colonnes ; aucune perte manifeste liée à la prise de vue.,context_only
6,,2,r,a,images_columns/f002r_a.png,320,1024,1480,1024,730,0,320,1024,336a33e4a4b253885d02f2b71be5d0ae0559aa4e0c3f6b3bd8a25fb1a5ae8877,Foliotation 2 visible ; pli horizontal léger.,Mise en page à deux colonnes ; aucune perte manifeste liée à la prise de vue.,to_transcribe
6,,2,r,b,images_columns/f002r_b.png,470,1024,1480,1024,1010,0,470,1024,05ab45f934654b80e81eb9878f8e52bb7755c8318a38ea41c46bca80a77ab65e,Foliotation 2 visible ; pli horizontal léger.,Mise en page à deux colonnes ; aucune perte manifeste liée à la prise de vue.,to_transcribe
8,,2,v,full,images_full/f002v_full.png,739,1024,1458,1024,0,0,739,1024,2ab599d53535ef9a343e323eca71e84e018f130c6eda0a92dbf4884bfea11143,Déchirure ou défaut matériel visible dans la colonne a ; signes marginaux.,Vue répétée avec la page PDF 7 ; page 8 retenue car l’image native est légèrement plus large.,context_only
8,,2,v,a,images_columns/f002v_a.png,455,1024,1458,1024,0,0,455,1024,f064ae9a13ff935118bf654ca82e44bf2f348f998db8cad01a840c05108298e1,Déchirure ou défaut matériel visible dans la colonne a ; signes marginaux.,Vue répétée avec la page PDF 7 ; page 8 retenue car l’image native est légèrement plus large.,to_transcribe
8,,2,v,b,images_columns/f002v_b.png,324,1024,1458,1024,415,0,324,1024,550b5bfbdaef571cfa1cbe51add06eaafbe431bd15bc2f43acae43710d249975,Déchirure ou défaut matériel visible dans la colonne a ; signes marginaux.,Vue répétée avec la page PDF 7 ; page 8 retenue car l’image native est légèrement plus large.,to_transcribe
8,,3,r,full,images_full/f003r_full.png,739,1024,1458,1024,719,0,739,1024,52f8b6675e3b0a45a17acbcf4b4defac5c126d2d365655af9cd81eea2710b1da,Foliotation 3 visible ; tache ronde dans la marge extérieure ; signes marginaux.,Vue répétée avec la page PDF 7 ; page 8 retenue car l’image native est légèrement plus large.,context_only
8,,3,r,a,images_columns/f003r_a.png,329,1024,1458,1024,719,0,329,1024,ca1c1efc7bc2e2dfb6d7cccc8d959f0f99c78dc93ba63aefc4bfe7f6758fe268,Foliotation 3 visible ; tache ronde dans la marge extérieure ; signes marginaux.,Vue répétée avec la page PDF 7 ; page 8 retenue car l’image native est légèrement plus large.,to_transcribe
8,,3,r,b,images_columns/f003r_b.png,440,1024,1458,1024,1018,0,440,1024,02d20fa97ec2b1ed39c64d74f783160ead8f56423634fdca9c0d7c8126fcb51a,Foliotation 3 visible ; tache ronde dans la marge extérieure ; signes marginaux.,Vue répétée avec la page PDF 7 ; page 8 retenue car l’image native est légèrement plus large.,to_transcribe
9,,3,v,full,images_full/f003v_full.png,728,1024,1436,1024,0,0,728,1024,f4e5d8408e8e3361087340d6db62c35f5b9d915128fb7747302a00d4bf65d1b6,Tache dans la marge extérieure ; signes ou accolades marginales.,Mise en page à deux colonnes conservée.,context_only
9,,3,v,a,images_columns/f003v_a.png,440,1024,1436,1024,0,0,440,1024,52a5037c56228fb78e30996fc8c2e5d44f829bf91095a7a1ef86354c50bbacc4,Tache dans la marge extérieure ; signes ou accolades marginales.,Mise en page à deux colonnes conservée.,to_transcribe
9,,3,v,b,images_columns/f003v_b.png,328,1024,1436,1024,400,0,328,1024,3bbf57a22ee970f3449aa237589c8ceefb53f0b6234b6aa37e7190dfa1fd3043,Tache dans la marge extérieure ; signes ou accolades marginales.,Mise en page à deux colonnes conservée.,to_transcribe
9,,4,r,full,images_full/f004r_full.png,728,1024,1436,1024,708,0,728,1024,816ef03f82afc8ee9b6302cc43c625733990bb086f23de51d55464ffb2b0158b,Foliotation 4 visible ; marques marginales pâles.,Aucune anomalie de séquence constatée.,context_only
9,,4,r,a,images_columns/f004r_a.png,320,1024,1436,1024,708,0,320,1024,2a70b65524ad678dcc5b559503d6db4144574029c8f0a2cbb07ed6b473639abf,Foliotation 4 visible ; marques marginales pâles.,Aucune anomalie de séquence constatée.,to_transcribe
9,,4,r,b,images_columns/f004r_b.png,448,1024,1436,1024,988,0,448,1024,3d2e7b6e7ef4e2c1dd3db2e69fcf3e393f0782de1ac0bedf5324fb2812605245,Foliotation 4 visible ; marques marginales pâles.,Aucune anomalie de séquence constatée.,to_transcribe
10,,4,v,full,images_full/f004v_full.png,728,1024,1436,1024,0,0,728,1024,8e09e749d7c2aa4cd4928fb96eb3e21c516a41615a31550f2c888e6387fa6e67,Grande initiale ; ajout ou signe de renvoi marginal et longue accolade.,Les marges et éléments hors du corps principal sont conservés.,context_only
10,,4,v,a,images_columns/f004v_a.png,448,1024,1436,1024,0,0,448,1024,a43510aa5993acc4f58adc81596afcebd09de658bb91d7d6216d15545ea993b5,Grande initiale ; ajout ou signe de renvoi marginal et longue accolade.,Les marges et éléments hors du corps principal sont conservés.,to_transcribe
10,,4,v,b,images_columns/f004v_b.png,320,1024,1436,1024,408,0,320,1024,3be1ec7efb61274f773f0c497e842d040dc6b05173bfe3db550fe4cefb933c40,Grande initiale ; ajout ou signe de renvoi marginal et longue accolade.,Les marges et éléments hors du corps principal sont conservés.,to_transcribe
10,,5,r,full,images_full/f005r_full.png,728,1024,1436,1024,708,0,728,1024,60056968a889b9451229d16711fbb6d1526ebecb00e75d16de91f9ebe6b50750,Foliotation 5 visible ; grande initiale en colonne b ; signes marginaux.,Les longues marques marginales sont conservées.,context_only
