pdf_page,folio,face,colonne,fichier,width,height,source_width,source_height,crop_x,crop_y,crop_width,crop_height,sha256
12,007,r,a,images_columns/f007r_a.png,300,1024,1460,1024,720,0,300,1024,593c27cbe0157e9da979ee8629603d84c22f6d2f535b21499c025b1fb90e59fe
12,007,r,b,images_columns/f007r_b.png,480,1024,1460,1024,980,0,480,1024,9c990d199f1753e4f805d622fa1bb201b1d4b6f67e18c6db4da71e50fcda2808
13,007,v,a,images_columns/f007v_a.png,472,1024,1453,1024,0,0,472,1024,ee41572fc637a1baa8b9ebdd26d675a1e73d38566918d34ec8f8f4d08e210ba9
13,007,v,b,images_columns/f007v_b.png,304,1024,1453,1024,432,0,304,1024,a0ea2e8ae21520e5bbb973bbbe99ea047cac19a6a2dbb6532663b8344b7b21e5
13,008,r,a,images_columns/f008r_a.png,344,1024,1453,1024,716,0,344,1024,a3dc25df76d6c058205ab65e8b8fbea667326c0d18a28b8db7f9862326721180
13,008,r,b,images_columns/f008r_b.png,433,1024,1453,1024,1020,0,433,1024,f0f81f14093cd399a43600627fdf72d96604495ba89b55f7e78d8c5d22a33dd0
14,008,v,a,images_columns/f008v_a.png,455,1024,1466,1024,0,0,455,1024,69f48dd725be49459d0f9f0dc812d0f06c025aaa94d87b30250f36030ccdeb50
14,008,v,b,images_columns/f008v_b.png,328,1024,1466,1024,415,0,328,1024,20f41e5447168966d528659e1d14722feb2b6a0906bfc156dc9942e32b549df6
14,009,r,a,images_columns/f009r_a.png,328,1024,1466,1024,723,0,328,1024,3c97637471c85566c57a0093400a0fd9e9c247b78255a972b26388106b5f0aa8
14,009,r,b,images_columns/f009r_b.png,455,1024,1466,1024,1011,0,455,1024,a6bb51d694a0021351a4e14677f29df9a82003664e5b3e75e1064e6a4a9a576c
15,009,v,a,images_columns/f009v_a.png,462,1024,1471,1024,0,0,462,1024,dff14dff565e866810c5b29cc8888e1a783dfbd8fc6016fcc2b18ffa38fc6a76
15,009,v,b,images_columns/f009v_b.png,323,1024,1471,1024,422,0,323,1024,af0b3b43399159d04ee444856babf7b0200c4ca4928c4b347aa17fac9b7835a5
15,010,r,a,images_columns/f010r_a.png,345,1024,1471,1024,725,0,345,1024,7f9836048388ba252e8fd9c72449c0e3a32b8cacfca4ccc1d88a274e9f94ae08
15,010,r,b,images_columns/f010r_b.png,441,1024,1471,1024,1030,0,441,1024,532899672d2eb0ab88156df82e650482739966f318f3626d1d05898990dd5377
16,010,v,a,images_columns/f010v_a.png,445,1024,1443,1024,0,0,445,1024,6dbac0ef003457a7aef78dff8a0acd1c84cc647dcf032a4a788b88f08fe39a14
16,010,v,b,images_columns/f010v_b.png,326,1024,1443,1024,405,0,326,1024,ff5d8935fee8f363a5d4c50b3ce31cd60ffb6fc4635393b8765c25404662d36c
16,011,r,a,images_columns/f011r_a.png,364,1024,1443,1024,711,0,364,1024,57d41ddded79ddeacd4f893bb6f2bb34e03d659e36187e6f0bab89c692387a91
16,011,r,b,images_columns/f011r_b.png,408,1024,1443,1024,1035,0,408,1024,9295eee605ff41c69d0ee4cf8d6ecc561f0a626d9c966a921889b1e048d169e3
17,011,v,a,images_columns/f011v_a.png,370,1024,1423,1024,0,0,370,1024,7b8d7d9c34c7633b46b735ca2e5707fb5959ac70c654ed34f7907daad0576792
17,011,v,b,images_columns/f011v_b.png,391,1024,1423,1024,330,0,391,1024,05b054309432fdfa73f85c1edd511bbebebc1fdb2f39eb088288bfb8b64ed7f4
17,012,r,a,images_columns/f012r_a.png,331,1024,1423,1024,701,0,331,1024,20dfa2ad33f0aec4214e719b958068866b02c94b85dcc6f202e695e49807b2d6
17,012,r,b,images_columns/f012r_b.png,431,1024,1423,1024,992,0,431,1024,e4e9533e11f61848540928eff1ae94399eac43996b1de5a550adcb6e811baadb
18,012,v,a,images_columns/f012v_a.png,438,1024,1451,1024,0,0,438,1024,ffafa947d1c13ad6dd5b8f3155d485cbc3c9aea953e2774dc3cbfd09e9507c84
18,012,v,b,images_columns/f012v_b.png,337,1024,1451,1024,398,0,337,1024,b94b3af64c749a55459b131e1466bb28b08c81972713675a55643c89659058d7
18,013,r,a,images_columns/f013r_a.png,320,1024,1451,1024,715,0,320,1024,446fc5408123c15d8d8191de05fd9783821e4816e6f01bc4d469ee249113a179
18,013,r,b,images_columns/f013r_b.png,456,1024,1451,1024,995,0,456,1024,20379d4a92faa2838036eaf03e9cb5fb3e6c01e90a93e64e1de24c9cb54ae6fd
19,013,v,a,images_columns/f013v_a.png,444,1024,1454,1024,0,0,444,1024,a214c54c046a23cc978c46b7c030028b4accfd673449d97c3f3f73591f6ca14c
19,013,v,b,images_columns/f013v_b.png,333,1024,1454,1024,404,0,333,1024,59580284df96e79162f6d1c8019a1b9e27c1180b5d64aefcd3858a011e82650f
19,014,r,a,images_columns/f014r_a.png,326,1024,1454,1024,717,0,326,1024,545aa5dc70484c30081285d95088eb5552613ceae212108843e5fd62ea14e272
19,014,r,b,images_columns/f014r_b.png,451,1024,1454,1024,1003,0,451,1024,8ed7ce717ee7d3aa98e834270f5c999e3e386ad0fde772465b611a6a5d241392
20,014,v,a,images_columns/f014v_a.png,460,1024,1460,1024,0,0,460,1024,fc5fc094f63e26c1f31e79e15e5a12894e8a95f1e5eb0dab421224221b8e8154
20,014,v,b,images_columns/f014v_b.png,320,1024,1460,1024,420,0,320,1024,ff17c2ae417504711a9615bb3f8c02f43c13ed3d46ab9d1596ba04fc8440ec5a
20,015,r,a,images_columns/f015r_a.png,315,1024,1460,1024,720,0,315,1024,c14882cf0119a2d739ab8bd20799d8e4fd30623aaae5552671f59d1f58e84d6f
20,015,r,b,images_columns/f015r_b.png,465,1024,1460,1024,995,0,465,1024,d1125c27f949a18c3c149d5aa1e8ce951afe1ae6a07267140cf2afc05d37f3c4
21,015,v,a,images_columns/f015v_a.png,450,1024,1436,1024,0,0,450,1024,e350761210c298c3f49d937b988b2680e74729d7fe05fb31c5e6108d085f452c
21,015,v,b,images_columns/f015v_b.png,318,1024,1436,1024,410,0,318,1024,952e0bdf4be0f88dcdef2c64c8fa06d48664da778f58db52505b416af9bf77f3
21,016,r,a,images_columns/f016r_a.png,318,1024,1436,1024,708,0,318,1024,3a579b661c3b5d31d76b76a87752da716653763c1f373f37c90fb884ef2a1e89
21,016,r,b,images_columns/f016r_b.png,450,1024,1436,1024,986,0,450,1024,43c2aa89dd0ee066a36ae49bfa1b3ca21ab54a0bd35e61b7431adab896413d6a
22,016,v,a,images_columns/f016v_a.png,464,1024,1463,1024,0,0,464,1024,e81294c14072bc53e313ad8520040b3916446eb15defa105a6196560b6d02ddb
22,016,v,b,images_columns/f016v_b.png,317,1024,1463,1024,424,0,317,1024,f4a861e123c159cb1f227cb547ab78f05b498c5cd7cdf3bcbf32c672ad7099c5
