pdf_page,folio,face,colonne,chemin,width,height,source_width,source_height,crop_x,crop_y,crop_width,crop_height,sha256
22,017,r,a,images_columns/f017r_a.png,320,1024,1463,1024,721,0,320,1024,7af301e92b7a4a87203e2baa0d3c4df65e26feecb86a4f717db841827f7ce309
22,017,r,b,images_columns/f017r_b.png,462,1024,1463,1024,1001,0,462,1024,91491632c5fe105d32057656f52207c6cbc34398feb255e3ccf7afd2496268ab
23,017,v,a,images_columns/f017v_a.png,467,1024,1462,1024,0,0,467,1024,bf80548bfebe8b3ee60df18b656e33b3051d6119bb8a84999f8613610b0e34b4
23,017,v,b,images_columns/f017v_b.png,314,1024,1462,1024,427,0,314,1024,840e18be10bb168bf143af482a409031554892b9e29fa0892b9d9215d1965602
23,018,r,a,images_columns/f018r_a.png,313,1024,1462,1024,721,0,313,1024,ae1f5a6cbeed3154321fc937fcc2301004a8bd68733a1610c15d28533c7246ca
23,018,r,b,images_columns/f018r_b.png,468,1024,1462,1024,994,0,468,1024,44512d8f8d7e4e2a761da2afd864aa9dc1061cc247239e1c93e4ae8a5ccfdc8d
24,018,v,a,images_columns/f018v_a.png,465,1024,1446,1024,0,0,465,1024,ecf396627400c92c571947af3c3a23a51558ebbcb78b8c96267a8c07f35bb573
24,018,v,b,images_columns/f018v_b.png,308,1024,1446,1024,425,0,308,1024,5a610e7a07d49154f06b702e3ff5e8b27856699e9c4cc94bf772d643b03083e5
24,019,r,a,images_columns/f019r_a.png,318,1024,1446,1024,713,0,318,1024,5fce2d31f53618bc259dc60826a2acce71ad7ebf067216c3c086c1a8bfcd3a0a
24,019,r,b,images_columns/f019r_b.png,455,1024,1446,1024,991,0,455,1024,16e39398fb3b2d70e8d1be7a7cce27ba5309defa0ba31bfb2a8a73866becc783
25,019,v,a,images_columns/f019v_a.png,473,1024,1451,1024,0,0,473,1024,f813d4711bf2d9d6e85b4ac57e62b648c47624df22adda17142f7c5444d1d89c
25,019,v,b,images_columns/f019v_b.png,302,1024,1451,1024,433,0,302,1024,9eb7f49e68c7a91f87f50bd2ba3af38494da5228f66b5e4e8e292531025a3305
25,020,r,a,images_columns/f020r_a.png,320,1024,1451,1024,715,0,320,1024,db9db8dc84e0b8d52b5cb3f9a71b20e54928541a040552dbc4cd1753fb02ec0e
25,020,r,b,images_columns/f020r_b.png,456,1024,1451,1024,995,0,456,1024,0cbed4d1825d2fc3703930b4f3c44519703ae6eaeee85bbdd88d51f5e947c5a7
26,020,v,a,images_columns/f020v_a.png,464,1024,1442,1024,0,0,464,1024,d55b44efaa99e32f6f47d8d5ecffd950d863de3ce5988ead9d3b4178a26f46ed
26,020,v,b,images_columns/f020v_b.png,307,1024,1442,1024,424,0,307,1024,8f6db282421a00df92f4748166092ea03730db7fb600903c455c8cf98ab815ea
26,021,r,a,images_columns/f021r_a.png,309,1024,1442,1024,711,0,309,1024,e09696135a594da139bcb35feefceca3bf617b923924a9dba229bdb1f924c990
26,021,r,b,images_columns/f021r_b.png,462,1024,1442,1024,980,0,462,1024,885331da68172edcacab532d6705a3185ae6c8e632b856372e1460c7011865e3
